position,column,inferred_type,non_missing_count,missing_count,missing_pct,unique_count,unique_pct_non_missing,is_all_missing,is_constant_non_missing,is_unique_non_missing,min,max,mean,top_values
34,fin8,integer,480,571,54.3292,4,0.8333,False,False,False,1,4,1.614583333333333333333333333,"[{""value"": ""2"", ""count"": 280}, {""value"": ""1"", ""count"": 193}, {""value"": ""3"", ""count"": 6}, {""value"": ""4"", ""count"": 1}]"
35,fin9a,integer,480,571,54.3292,3,0.625,False,False,False,1,3,1.389583333333333333333333333,"[{""value"": ""1"", ""count"": 303}, {""value"": ""2"", ""count"": 167}, {""value"": ""3"", ""count"": 10}]"
36,fin9b,integer,480,571,54.3292,3,0.625,False,False,False,1,3,1.3875,"[{""value"": ""1"", ""count"": 296}, {""value"": ""2"", ""count"": 182}, {""value"": ""3"", ""count"": 2}]"
37,fin10,integer,480,571,54.3292,4,0.8333,False,False,False,1,4,1.870833333333333333333333333,"[{""value"": ""2"", ""count"": 407}, {""value"": ""1"", ""count"": 68}, {""value"": ""3"", ""count"": 4}, {""value"": ""4"", ""count"": 1}]"
38,fin11_0,empty,0,1051,100.0,0,0.0,True,True,False,,,,[]
39,fin11_1,empty,0,1051,100.0,0,0.0,True,True,False,,,,[]
40,fin11_2,empty,0,1051,100.0,0,0.0,True,True,False,,,,[]
41,fin11a,empty,0,1051,100.0,0,0.0,True,True,False,,,,[]
42,fin11b,empty,0,1051,100.0,0,0.0,True,True,False,,,,[]
43,fin11c,empty,0,1051,100.0,0,0.0,True,True,False,,,,[]
44,fin11d,empty,0,1051,100.0,0,0.0,True,True,False,,,,[]
45,fin11e,empty,0,1051,100.0,0,0.0,True,True,False,,,,[]
46,fin11f,empty,0,1051,100.0,0,0.0,True,True,False,,,,[]
47,fin13_1,integer,243,808,76.8792,4,1.6461,False,False,False,1,4,1.551440329218106995884773663,"[{""value"": ""1"", ""count"": 128}, {""value"": ""2"", ""count"": 97}, {""value"": ""3"", ""count"": 17}, {""value"": ""4"", ""count"": 1}]"
48,fin13a,integer,555,496,47.1931,6,1.0811,False,False,False,1,6,2.335135135135135135135135135,"[{""value"": ""2"", ""count"": 270}, {""value"": ""3"", ""count"": 120}, {""value"": ""1"", ""count"": 98}, {""value"": ""4"", ""count"": 39}, {""value"": ""5"", ""count"": 26}, {""value"": ""6"", ""count"": 2}]"
49,fin13b,integer,555,496,47.1931,6,1.0811,False,False,False,1,6,2.457657657657657657657657658,"[{""value"": ""2"", ""count"": 237}, {""value"": ""3"", ""count"": 132}, {""value"": ""1"", ""count"": 94}, {""value"": ""4"", ""count"": 62}, {""value"": ""5"", ""count"": 28}, {""value"": ""6"", ""count"": 2}]"
50,fin13c,integer,555,496,47.1931,6,1.0811,False,False,False,1,6,2.336936936936936936936936937,"[{""value"": ""2"", ""count"": 237}, {""value"": ""1"", ""count"": 123}, {""value"": ""3"", ""count"": 120}, {""value"": ""4"", ""count"": 38}, {""value"": ""5"", ""count"": 34}, {""value"": ""6"", ""count"": 3}]"
51,fin13d,integer,555,496,47.1931,4,0.7207,False,False,False,1,4,1.437837837837837837837837838,"[{""value"": ""1"", ""count"": 316}, {""value"": ""2"", ""count"": 236}, {""value"": ""3"", ""count"": 2}, {""value"": ""4"", ""count"": 1}]"
52,fin13e,integer,555,496,47.1931,4,0.7207,False,False,False,1,4,1.641441441441441441441441441,"[{""value"": ""2"", ""count"": 351}, {""value"": ""1"", ""count"": 202}, {""value"": ""3"", ""count"": 1}, {""value"": ""4"", ""count"": 1}]"
53,fin13f,integer,555,496,47.1931,4,0.7207,False,False,False,1,4,1.839639639639639639639639640,"[{""value"": ""2"", ""count"": 459}, {""value"": ""1"", ""count"": 93}, {""value"": ""3"", ""count"": 2}, {""value"": ""4"", ""count"": 1}]"
54,fin13f_1,integer,93,958,91.1513,2,2.1505,False,False,False,1,2,1.419354838709677419354838710,"[{""value"": ""1"", ""count"": 54}, {""value"": ""2"", ""count"": 39}]"
55,fin14a,integer,318,733,69.7431,4,1.2579,False,False,False,1,4,1.864779874213836477987421384,"[{""value"": ""2"", ""count"": 233}, {""value"": ""1"", ""count"": 66}, {""value"": ""3"", ""count"": 15}, {""value"": ""4"", ""count"": 4}]"
56,fin14b,integer,318,733,69.7431,4,1.2579,False,False,False,1,4,1.893081761006289308176100629,"[{""value"": ""2"", ""count"": 219}, {""value"": ""1"", ""count"": 68}, {""value"": ""3"", ""count"": 28}, {""value"": ""4"", ""count"": 3}]"
57,fin14c,integer,318,733,69.7431,4,1.2579,False,False,False,1,4,1.701257861635220125786163522,"[{""value"": ""2"", ""count"": 189}, {""value"": ""1"", ""count"": 113}, {""value"": ""3"", ""count"": 14}, {""value"": ""4"", ""count"": 2}]"
